# Origin	Destination	Quests	Duration	Display info	VarPlayers
3280 3412 0	1700 3141 0	Children of the Sun	6	Civitas illa Fortis	
1703 3140 0	3280 3412 0	Children of the Sun	6	Varrock	
1389 2901 0		Twilight's Promise	6		
1697 3140 0		Twilight's Promise	6		
1585 3053 0		Twilight's Promise	6		
1512 3222 0		Twilight's Promise	6		
1548 2995 0		Twilight's Promise	6		
1437 3171 0		Twilight's Promise	6		
1779 3111 0		Twilight's Promise	6		quetzals_unlocked&256
1700 3037 0		Twilight's Promise	6		quetzals_unlocked&128
1670 2933 0		Twilight's Promise	6		quetzals_unlocked&64
1446 3108 0		Twilight's Promise	6		quetzals_unlocked&32
1613 3300 0		Twilight's Promise	6		quetzals_unlocked&2048
	1389 2901 0	Twilight's Promise	6	Aldarin	
	1697 3140 0	Twilight's Promise	6	Civitas illa Fortis	
	1585 3053 0	Twilight's Promise	6	Hunter Guild	
	1512 3222 0	Twilight's Promise	6	Quetzacalli Gorge	
	1548 2995 0	Twilight's Promise	6	Sunset Coast	
	1437 3171 0	Twilight's Promise	6	The Teomat	
	1779 3111 0	Twilight's Promise	6	Fortis Colosseum	quetzals_unlocked&256
	1700 3037 0	Twilight's Promise	6	Outer Fortis	quetzals_unlocked&128
	1670 2933 0	Twilight's Promise	6	Colossal Wyrm Remains	quetzals_unlocked&64
	1446 3108 0	Twilight's Promise	6	Cam Torum	quetzals_unlocked&32
	1613 3300 0	Twilight's Promise	6	Salvager Overlook	quetzals_unlocked&2048
